_id,flight_iata,flight_icao,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,arr_iata,arr_icao,arr_time,status,duration,delayed,__v
63189a58ddaca31c0f993e4b,FZ1808,FDB1808,TLV,LLBG,3,,2022-09-08 00:35,DXB,OMDB,2022-09-08 04:50,scheduled,195,0,0
63189a58ddaca31c0f993e4c,DL243,DAL243,TLV,LLBG,3,C08,2022-09-08 00:40,BOS,KBOS,2022-09-08 05:30,scheduled,710,0,0
63189a58ddaca31c0f993e4d,AA145,AAL145,TLV,LLBG,3,,2022-09-08 00:50,JFK,KJFK,2022-09-08 06:00,scheduled,730,0,0
63189a58ddaca31c0f993e4e,B64497,JBU4497,TLV,LLBG,3,,2022-09-08 00:50,JFK,KJFK,2022-09-08 06:00,scheduled,730,0,0
63189a58ddaca31c0f993e4f,JU8256,ASL8256,TLV,LLBG,3,,2022-09-08 00:50,IST,LTFM,2022-09-08 03:10,scheduled,140,0,0
63189a58ddaca31c0f993e50,TK791,THY791,TLV,LLBG,3,,2022-09-08 00:50,IST,LTFM,2022-09-08 03:10,scheduled,140,0,0
63189a58ddaca31c0f993e51,UA955,UAL955,TLV,LLBG,,B9,2022-09-08 00:55,SFO,KSFO,2022-09-08 06:00,scheduled,905,0,0
63189a58ddaca31c0f993e52,AM7869,AMX7869,TLV,LLBG,3,,2022-09-08 01:00,JFK,KJFK,2022-09-08 05:50,scheduled,710,15,0
63189a58ddaca31c0f993e53,AR7853,ARG7853,TLV,LLBG,3,,2022-09-08 01:00,JFK,KJFK,2022-09-08 05:50,scheduled,710,15,0
63189a58ddaca31c0f993e54,ET405,ETH405,TLV,LLBG,3,C9,2022-09-08 01:00,ADD,HAAB,2022-09-08 05:20,scheduled,260,0,0
63189a58ddaca31c0f993e55,LY1,ELY1,TLV,LLBG,3,,2022-09-08 01:00,JFK,KJFK,2022-09-08 05:50,scheduled,710,15,0
63189a58ddaca31c0f993e56,LY8807,ELY8807,TLV,LLBG,3,C9,2022-09-08 01:00,ADD,HAAB,2022-09-08 05:20,scheduled,260,0,0
63189a58ddaca31c0f993e57,AM7875,AMX7875,TLV,LLBG,3,,2022-09-08 01:05,LAX,KLAX,2022-09-08 06:00,scheduled,895,0,0
63189a58ddaca31c0f993e58,LY15,ELY15,TLV,LLBG,3,,2022-09-08 01:05,BOS,KBOS,2022-09-08 05:45,scheduled,700,0,0
63189a58ddaca31c0f993e59,LY5,ELY5,TLV,LLBG,3,,2022-09-08 01:05,LAX,KLAX,2022-09-08 06:00,scheduled,895,0,0
63189a58ddaca31c0f993e5a,AF8424,AFR8424,TLV,LLBG,3,,2022-09-08 04:45,AMS,EHAM,2022-09-08 08:45,scheduled,300,0,0
63189a58ddaca31c0f993e5b,DL9176,DAL9176,TLV,LLBG,3,,2022-09-08 04:45,AMS,EHAM,2022-09-08 08:45,scheduled,300,0,0
63189a58ddaca31c0f993e5c,KL462,KLM462,TLV,LLBG,3,,2022-09-08 04:45,AMS,EHAM,2022-09-08 08:45,scheduled,300,0,0
63189a58ddaca31c0f993e5d,KQ1462,KQA1462,TLV,LLBG,3,,2022-09-08 04:45,AMS,EHAM,2022-09-08 08:45,scheduled,300,0,0
63189a58ddaca31c0f993e5e,AC9021,ACA9021,TLV,LLBG,3,,2022-09-08 04:50,FRA,EDDF,2022-09-08 08:20,scheduled,270,0,0
63189a58ddaca31c0f993e5f,LH691,DLH691,TLV,LLBG,3,,2022-09-08 04:50,FRA,EDDF,2022-09-08 08:20,scheduled,270,0,0
63189a58ddaca31c0f993e60,LX257,SWR257,TLV,LLBG,3,,2022-09-08 04:50,ZRH,LSZH,2022-09-08 08:10,scheduled,260,0,0
63189a58ddaca31c0f993e61,NO3235,NOS3235,TLV,LLBG,3,,2022-09-08 04:50,MXP,LIMC,2022-09-08 08:00,scheduled,250,0,0
63189a58ddaca31c0f993e62,SN3294,BEL3294,TLV,LLBG,3,,2022-09-08 04:50,BRU,EBBR,2022-09-08 08:50,scheduled,300,0,0
63189a58ddaca31c0f993e63,SN7170,BEL7170,TLV,LLBG,3,,2022-09-08 04:50,FRA,EDDF,2022-09-08 08:20,scheduled,270,0,0
63189a58ddaca31c0f993e64,UA9121,UAL9121,TLV,LLBG,3,,2022-09-08 04:50,FRA,EDDF,2022-09-08 08:20,scheduled,270,0,0
